Key	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
HediffDef&KokuBionicClaw.description	An installed bionic claw.	Eine installierte bionische Klaue.	設置されたバイオニッククロー。	Zainstalowany bioniczny pazur.	Una garra biónica instalada.	Une griffe bionique installée.	已安装的仿生爪。	Un artiglio bionico installato.	설치된 생체공학 발톱.	Uma garra biônica instalada.	Установленный бионический коготь.	Встановлена ​​біонічна клешня.	Una urpa biònica instal·lada.	已安装的仿生爪。	Instalovaný bionický dráp.	En installeret bionisk klo.	Een geïnstalleerde bionische klauw.	Paigaldatud biooniline küünis.	Asennettu bioninen kynsi.	Ένα εγκατεστημένο βιονικό νύχι.	Beépített bionikus karom.	En installert bionisk klo.	Uma garra biônica instalada.	O gheară bionică instalată.	Inštalovaný bionický pazúr.	Una garra biónica instalada.	En installerad bionisk klo.	Kurulu bir biyonik pençe.
HediffDef&KokuBionicClaw.comps.tools.bionic claw.label	bionic claw	bionische Klaue	バイオニッククロー	bioniczny pazur	garra biónica	griffe bionique	仿生爪	artiglio bionico	생체공학 발톱	garra biônica	бионический коготь	біонічний кіготь	urpa biònica	仿生爪	bionický dráp	bionisk klo	bionische klauw	biooniline küünis	bioninen kynsi	βιονικό νύχι	bionikus karom	bionisk klo	garra biônica	gheara bionică	bionický pazúr	garra biónica	bionisk klo	biyonik pençe
HediffDef&KokuBionicGunArm.label	Bionic gun arm	Bionischer Waffenarm	バイオニックガンアーム	Bioniczne ramię pistoletu	Brazo de pistola biónica	Bras de pistolet bionique	仿生枪臂	Braccio della pistola bionica	바이오닉 총 팔	Braço de arma biônico	Бионическая рука-пушка	Рука біонічного пістолета	Braç de pistola biònica	仿生枪臂	Bionické zbraňové rameno	Bionic pistolarm	Bionische pistoolarm	Biooniline relva käsi	Bionic aseen varsi	Βιονικό βραχίονα όπλου	Bionikus fegyver kar	Bionic pistolarm	Braço de arma biônico	Brațul pistolului bionic	Bionické rameno pištole	Brazo de pistola biónica	Bionic pistolarm	Biyonik silah kolu
HediffDef&KokuBionicGunArm.labelNoun	a bionic gun arm	ein bionischer Waffenarm	バイオニックガンアーム	bioniczne ramię strzeleckie	un brazo de pistola biónica	un bras de pistolet bionique	仿生枪臂	un braccio armato bionico	생체 공학 총 팔	um braço de arma biônica	рука с бионическим пистолетом	рука біонічного пістолета	un braç d'arma biònica	仿生枪臂	rameno bionické zbraně	en bionisk pistolarm	een bionische geweerarm	biooniline relva käsi	bioninen aseen käsivarsi	ένα βιονικό βραχίονα όπλου	egy bionikus fegyverkar	en bionisk pistolarm	um braço de arma biônica	un braț de armă bionic	rameno bionickej zbrane	un brazo de pistola biónica	en bionisk pistolarm	biyonik silah kolu
HediffDef&KokuBionicGunArm.description	An installed bionic gun arm.	Ein installierter bionischer Waffenarm.	設置されたバイオニックガンアーム。	Zainstalowane ramię pistoletu bionicznego.	Un brazo de pistola biónico instalado.	Un bras de pistolet bionique installé.	安装的仿生枪臂。	Un braccio di pistola bionico installato.	설치된 생체 공학 총 팔.	Um braço de arma biônica instalado.	Установленная бионическая рука-пушка.	Встановлена ​​рука біонічного пістолета.	Un braç de pistola biònic instal·lat.	安装的仿生枪臂。	Instalované rameno bionické zbraně.	En installeret bionisk pistolarm.	Een geïnstalleerde bionische pistoolarm.	Paigaldatud biooniline püstoli õlg.	Asennettu bioninen aseen varsi.	Ένας εγκατεστημένος βραχίονας βιονικού όπλου.	Telepített bionikus fegyverkar.	En installert bionisk pistolarm.	Um braço de arma biônica instalado.	Un braț bionic instalat.	Inštalované rameno bionickej pištole.	Un brazo de pistola biónico instalado.	En installerad bionisk pistolarm.	Takılı bir biyonik silah kolu.
HediffDef&KokuBionicGunArm.comps.tools.bionic gun arm.label	bionic gun arm	Bionischer Waffenarm	バイオニックガンアーム	ramię z bronią bioniczną	brazo de pistola biónica	bras de pistolet bionique	仿生枪臂	braccio della pistola bionica	생체 공학 총 팔	braço de arma biônica	рука с бионическим пистолетом	рука біонічного пістолета	braç de la pistola biònica	仿生枪臂	rameno bionické zbraně	bionisk pistolarm	bionische pistoolarm	biooniline relva käsi	bioninen aseen varsi	βραχίονα βιονικού όπλου	bionikus fegyverkar	bionisk pistolarm	braço de arma biônica	brațul pistolului bionic	rameno bionickej zbrane	brazo de pistola biónica	bionisk pistolarm	biyonik silah kolu
HediffDef&KokuBionicEMPArm.label	Bionic EMP arm	Bionischer EMP-Arm	バイオニックEMPアーム	Bioniczne ramię EMP	Brazo EMP biónico	Bras bionique EMP	仿生电磁脉冲臂	Braccio EMP bionico	바이오닉 EMP 팔	Braço EMP biônico	Бионическая ЭМИ-рука	Bionic EMP arm	Braç EMP biònic	仿生电磁脉冲臂	Bionické EMP rameno	Bionic EMP arm	Bionische EMP-arm	Biooniline EMP käsi	Bionic EMP-varsi	Βραχίονας Bionic EMP	Bionic EMP kar	Bionic EMP arm	Braço EMP biônico	Braț EMP bionic	Bionické EMP rameno	Brazo EMP biónico	Bionic EMP arm	Biyonik EMP kolu
HediffDef&KokuBionicEMPArm.labelNoun	an installed bionic EMP arm	ein installierter bionischer EMP-Arm	設置されたバイオニックEMPアーム	zainstalowane bioniczne ramię EMP	un brazo EMP biónico instalado	un bras EMP bionique installé	已安装的仿生电磁脉冲臂	un braccio EMP bionico installato	설치된 생체공학 EMP 팔	um braço EMP biônico instalado	установленная бионическая рука с ЭМИ	встановлена ​​біонічна рука EMP	un braç biònic EMP instal·lat	已安装的仿生电磁脉冲臂	instalované bionické EMP rameno	en installeret bionisk EMP-arm	een geïnstalleerde bionische EMP-arm	paigaldatud biooniline EMP vars	asennettu bioninen EMP-varsi	έναν εγκατεστημένο βιονικό βραχίονα EMP	telepített bionikus EMP kar	en installert bionisk EMP-arm	um braço EMP biônico instalado	un braț EMP bionic instalat	nainštalované bionické EMP rameno	un brazo EMP biónico instalado	en installerad bionisk EMP-arm	kurulu bir biyonik EMP kolu
HediffDef&KokuBionicEMPArm.description	An installed bionic EMP arm.	Ein installierter bionischer EMP-Arm.	設置されたバイオニックEMPアーム。	Zainstalowane bioniczne ramię EMP.	Un brazo EMP biónico instalado.	Un bras EMP bionique installé.	已安装的仿生电磁脉冲臂。	Un braccio EMP bionico installato.	설치된 생체공학 EMP 팔.	Um braço EMP biônico instalado.	Установленная бионическая рука с ЭМИ.	Встановлена ​​біонічна рука EMP.	Un braç biònic EMP instal·lat.	已安装的仿生电磁脉冲臂。	Instalované bionické EMP rameno.	En installeret bionisk EMP-arm.	Een geïnstalleerde bionische EMP-arm.	Paigaldatud biooniline EMP vars.	Asennettu bioninen EMP-varsi.	Ένα εγκατεστημένο βιονικό βραχίονα EMP.	Telepített bionikus EMP kar.	En installert bionisk EMP-arm.	Um braço EMP biônico instalado.	Un braț EMP bionic instalat.	Inštalované bionické EMP rameno.	Un brazo EMP biónico instalado.	En installerad bionisk EMP-arm.	Kurulu bir biyonik EMP kolu.
HediffDef&KokuBionicEMPArm.comps.tools.bionic EMP arm.label	bionic EMP arm	bionischer EMP-Arm	バイオニックEMPアーム	bioniczne ramię EMP	brazo biónico EMP	bras bionique EMP	仿生电磁脉冲臂	braccio EMP bionico	생체공학 EMP 팔	braço EMP biônico	бионическая ЭМИ рука	біонічна рука EMP	braç biònic EMP	仿生电磁脉冲臂	bionické EMP rameno	bionisk EMP arm	bionische EMP-arm	biooniline EMP käsi	Bionic EMP-varsi	βιονικός βραχίονας EMP	bionikus EMP kar	bionisk EMP-arm	braço EMP biônico	brațul EMP bionic	bionické EMP rameno	brazo biónico EMP	bionisk EMP-arm	biyonik EMP kolu
HediffDef&KokuBionicIncendiaryArm.label	Bionic incendiary arm	Bionischer Brandarm	バイオニック焼夷アーム	Bioniczne ramię zapalające	Brazo incendiario biónico	Bras incendiaire bionique	仿生燃烧臂	Braccio incendiario bionico	생체 공학 방화 팔	Braço incendiário biônico	Бионическая зажигательная рука	Біонічна запальна рука	Braç incendiari biònic	仿生燃烧臂	Bionické zápalné rameno	Bionisk brandarm	Bionische brandgevaarlijke arm	Biooniline süütekäsi	Bionic sytytysvarsi	Βιονικός εμπρηστικός βραχίονας	Bionikus gyújtókar	Bionisk brennende arm	Braço incendiário biônico	Braț incendiar bionic	Bionické zápalné rameno	Brazo incendiario biónico	Bionisk brandarm	Biyonik yangın çıkarıcı kol
HediffDef&KokuBionicIncendiaryArm.labelNoun	an installed bionic incendiary arm	ein installierter bionischer Brandarm	設置されたバイオニック焼夷アーム	zainstalowane bioniczne ramię zapalające	un brazo incendiario biónico instalado	un bras incendiaire bionique installé	安装的仿生燃烧臂	un braccio incendiario bionico installato	설치된 생체 공학 소이 팔	um braço incendiário biônico instalado	установленная бионическая зажигательная рука	встановлена ​​біонічна запальна зброя	un braç incendiari biònic instal·lat	安装的仿生燃烧臂	instalované bionické zápalné rameno	en installeret bionisk brandarm	een geïnstalleerde bionische brandgevaarlijke arm	paigaldatud biooniline süüteõlg	asennettu bioninen sytytysvarsi	εγκατεστημένο βιονικό εμπρηστικό βραχίονα	telepített bionikus gyújtókar	en installert bionisk brannarm	um braço incendiário biônico instalado	un braț incendiar bionic instalat	inštalované bionické zápalné rameno	un brazo incendiario biónico instalado	en installerad bionisk brandarm	kurulu bir biyonik yangın çıkarıcı kol
HediffDef&KokuBionicIncendiaryArm.description	An installed bionic incendiary arm.	Ein installierter bionischer Brandarm.	設置されたバイオニック焼夷アーム。	Zainstalowane bioniczne ramię zapalające.	Un brazo incendiario biónico instalado.	Un bras incendiaire bionique installé.	已安装的仿生燃烧臂。	Un braccio incendiario bionico installato.	설치된 생체 공학 소이 팔.	Um braço incendiário biônico instalado.	Установленная бионическая зажигательная рука.	Встановлена ​​біонічна запальна рука.	Un braç incendiari biònic instal·lat.	已安装的仿生燃烧臂。	Instalované bionické zápalné rameno.	En installeret bionisk brandarm.	Een geïnstalleerde bionische brandgevaarlijke arm.	Paigaldatud biooniline süüteõlg.	Asennettu bioninen sytytysvarsi.	Εγκατεστημένος βιονικός εμπρηστικός βραχίονας.	Beépített bionikus gyújtókar.	En installert bionisk brannarm.	Um braço incendiário biônico instalado.	Un braț incendiar bionic instalat.	Inštalované bionické zápalné rameno.	Un brazo incendiario biónico instalado.	En installerad bionisk brandarm.	Kurulu bir biyonik yangın çıkarıcı kol.
HediffDef&KokuBionicIncendiaryArm.comps.tools.bionic incendiary arm.label	bionic incendiary arm	Bionischer Brandarm	バイオニック焼夷アーム	bioniczne ramię zapalające	brazo incendiario biónico	bras incendiaire bionique	仿生燃烧臂	braccio incendiario bionico	생체 공학 방화 팔	braço incendiário biônico	бионическая зажигательная рука	біонічна запальна рука	braç incendiari biònic	仿生燃烧臂	bionické zápalné rameno	bionisk brandarm	bionische brandgevaarlijke arm	biooniline süütekäsi	bioninen sytytysvarsi	βιονικό εμπρηστικό βραχίονα	bionikus gyújtókar	bionisk brennende arm	braço incendiário biônico	braț incendiar bionic	bionické zápalné rameno	brazo incendiario biónico	bionisk brandarm	biyonik yangın çıkarıcı kol
HediffDef&KokuBionicSmokeArm.label	Bionic smoke arm	Bionischer Raucharm	バイオニックスモークアーム	Bioniczne ramię dymne	Brazo de humo biónico	Bras fumigène bionique	仿生烟臂	Braccio fumogeno bionico	바이오닉 스모크 암	Braço de fumaça biônico	Бионическая дымовая рука	Біонічна димова рука	Braç de fum biònic	仿生烟臂	Bionické kouřové rameno	Bionisk røgarm	Bionische rookarm	Biooniline suitsuvars	Bionic savuvarsi	Βιονικός βραχίονας καπνού	Bionikus füstkar	Bionic røykarm	Braço de fumaça biônico	Braț bionic de fum	Bionické dymové rameno	Brazo de humo biónico	Bionic rökarm	Biyonik duman kolu
HediffDef&KokuBionicSmokeArm.labelNoun	an installed bionic smoke arm	ein installierter bionischer Raucharm	設置されたバイオニックスモークアーム	zainstalowane bioniczne ramię dymne	un brazo de humo biónico instalado	un bras fumigène bionique installé	安装的仿生烟臂	un braccio di fumo bionico installato	설치된 생체공학 연기 팔	um braço de fumaça biônico instalado	установленная бионическая дымовая рука	встановлена ​​біонічна димова рука	un braç de fum biònic instal·lat	安装的仿生烟臂	instalované bionické kouřové rameno	en installeret bionisk røgarm	een geïnstalleerde bionische rookarm	paigaldatud biooniline suitsuvars	asennettu bioninen savuvarsi	εγκατεστημένο βιονικό βραχίονα καπνού	telepített bionikus füstkar	en installert bionisk røykarm	um braço de fumaça biônico instalado	un braț de fum bionic instalat	nainštalované bionické dymové rameno	un brazo de humo biónico instalado	en installerad bionisk rökarm	kurulu bir biyonik duman kolu
HediffDef&KokuBionicSmokeArm.description	An installed bionic smoke arm.	Ein installierter bionischer Raucharm.	取り付けられたバイオニックスモークアーム。	Zainstalowane bioniczne ramię dymne.	Un brazo de humo biónico instalado.	Un bras fumigène bionique installé.	安装的仿生烟臂。	Un braccio fumogeno bionico installato.	설치된 생체공학 연기 팔.	Um braço de fumaça biônico instalado.	Установлен бионический дымовой манипулятор.	Встановлена ​​біонічна димова рука.	Un braç de fum biònic instal·lat.	安装的仿生烟臂。	Instalované bionické kouřové rameno.	En installeret bionisk røgarm.	Een geïnstalleerde bionische rookarm.	Paigaldatud biooniline suitsuvars.	Asennettu bioninen savuvarsi.	Εγκατεστημένος βιονικός βραχίονας καπνού.	Beépített bionikus füstkar.	En installert bionisk røykarm.	Um braço de fumaça biônico instalado.	Un braț de fum bionic instalat.	Inštalované rameno bionického dymu.	Un brazo de humo biónico instalado.	En installerad bionisk rökarm.	Takılı bir biyonik duman kolu.
HediffDef&KokuBionicSmokeArm.comps.tools.bionic smoke arm.label	bionic smoke arm	Bionischer Raucharm	バイオニックスモークアーム	bioniczne ramię dymne	brazo de humo biónico	bras fumigène bionique	仿生烟臂	braccio fumogeno bionico	생체 공학 연기 팔	braço de fumaça biônico	бионическая дымовая рука	біонічна димова рука	braç de fum biònic	仿生烟臂	bionické kouřové rameno	bionisk røgarm	bionische rookarm	biooniline suitsukäsi	bioninen savuvarsi	βιονικός βραχίονας καπνού	bionikus füstkar	bionisk røykarm	braço de fumaça biônico	brațul bionic de fum	rameno bionického dymu	brazo de humo biónico	bionisk rökarm	biyonik duman kolu
HediffDef&KokuBionicFireBreathJaw.label	Bionic fire breath jaw	Bionischer Feueratem-Kiefer	バイオニックファイアブレスジョー	Bioniczna szczęka z ognistym oddechem	Mandíbula biónica de aliento de fuego	Mâchoire de souffle de feu bionique	仿生火息颌	Mascella bionica del soffio di fuoco	바이오닉 파이어 브레스 턱	Mandíbula de sopro de fogo biônico	Бионическая челюсть с огненным дыханием	Щелепа біонічного вогняного дихання	Mandíbula d'alè de foc biònic	仿生火息颌	Čelist bionického ohně	Bionic ildåndekæbe	Bionische vuurademkaak	Bioonilise tule hingelõua	Bionic tulihengitysleuka	Βιονικό σαγόνι αναπνοής φωτιάς	Bionikus tűzlégzés állkapocs	Bionic brannpustkjeve	Mandíbula de sopro de fogo biônico	Maxilarul bionic suflare de foc	Bionická ohnivá dychová čeľusť	Mandíbula biónica de aliento de fuego	Bionic eldandningskäke	Biyonik ateş nefesli çene
HediffDef&KokuBionicFireBreathJaw.labelNoun	an installed bionic fire breath jaw	ein installierter bionischer Feueratem-Kiefer	取り付けられたバイオニックファイアブレスジョー	zainstalowaną bioniczną szczękę z ognistym oddechem	una mandíbula biónica de aliento de fuego instalada	une mâchoire de souffle de feu bionique installée	安装的仿生火息颌	una mascella bionica per il soffio di fuoco installata	설치된 생체 공학 화재 호흡 턱	uma mandíbula biônica de sopro de fogo instalada	установленная бионическая челюсть с огненным дыханием	встановлена ​​щелепа біонічного вогняного дихання	una mandíbula de foc biònic instal·lada	安装的仿生火息颌	instalovaná bionická čelist na dýchání ohně	en installeret bionisk ildåndekæbe	een geïnstalleerde bionische vuurademkaak	paigaldatud biooniline tulelõug	asennettu bioninen tulihengitysleuka	μια εγκατεστημένη βιονική σιαγόνα αναπνοής φωτιάς	telepített bionikus tűzlégzéspofa	en installert bionisk brannpustekjeve	uma mandíbula biônica de sopro de fogo instalada	o falcă bionică instalată pentru respirație de foc	nainštalovaná bionická čeľusť na dýchanie ohňa	una mandíbula biónica de aliento de fuego instalada	en installerad bionisk eldandningskäke	kurulu bir biyonik ateş nefesi çenesi
HediffDef&KokuBionicFireBreathJaw.description	An installed bionic fire breath jaw.	Ein installierter bionischer Feueratem-Kiefer.	設置されたバイオニックファイアブレスジョー。	Zainstalowana bioniczna szczęka z ognistym oddechem.	Una mandíbula biónica de aliento de fuego instalada.	Une mâchoire de souffle de feu bionique installée.	已安装的仿生火息颚。	Una mascella bionica del soffio di fuoco installata.	설치된 생체 공학 화재 호흡 턱.	Uma mandíbula biônica de sopro de fogo instalada.	Установленная бионическая челюсть огненного дыхания.	Встановлена ​​щелепа біонічного вогняного дихання.	Una mandíbula de foc biònic instal·lada.	已安装的仿生火息颚。	Instalovaná čelist bionického dechu ohně.	En installeret bionisk ildåndekæbe.	Een geïnstalleerde bionische vuurademkaak.	Paigaldatud biooniline tulehingamislõug.	Asennettu bioninen tulihengitysleuka.	Μια εγκατεστημένη βιονική σιαγόνα αναπνοής φωτιάς.	Beépített bionikus tűzlégzéspofa.	En installert bionisk brannpustekjeve.	Uma mandíbula biônica de sopro de fogo instalada.	O falcă bionic de respirație instalată.	Inštalovaná bionická čeľusť na dýchanie ohňa.	Una mandíbula biónica de aliento de fuego instalada.	En installerad bionisk eldandningskäft.	Takılı bir biyonik yangın nefesi çenesi.
HediffDef&KokuAdvancedBionicClaw.label	advanced bionic claw	Fortgeschrittene bionische Klaue	先進的なバイオニッククロー	zaawansowany bioniczny pazur	garra biónica avanzada	griffe bionique avancée	先进的仿生爪	artiglio bionico avanzato	고급 생체공학 발톱	garra biônica avançada	продвинутый бионический коготь	вдосконалений біонічний кіготь	urpa biònica avançada	先进的仿生爪	pokročilý bionický dráp	avanceret bionisk klo	geavanceerde bionische klauw	arenenud biooniline küünis	kehittynyt bioninen kynsi	προηγμένο βιονικό νύχι	fejlett bionikus karom	avansert bionisk klo	garra biônica avançada	gheară bionică avansată	pokročilý bionický pazúr	garra biónica avanzada	avancerad bionisk klo	gelişmiş biyonik pençe
HediffDef&KokuAdvancedBionicClaw.labelNoun	an advanced bionic claw	eine fortschrittliche bionische Klaue	先進的なバイオニッククロー	zaawansowany bioniczny pazur	una garra biónica avanzada	une griffe bionique avancée	先进的仿生爪	un artiglio bionico avanzato	진보된 생체공학 발톱	uma garra biônica avançada	продвинутый бионический коготь	вдосконалений біонічний кіготь	una urpa biònica avançada	先进的仿生爪	pokročilý bionický dráp	en avanceret bionisk klo	een geavanceerde bionische klauw	täiustatud biooniline küünis	kehittynyt bioninen kynsi	ένα προηγμένο βιονικό νύχι	fejlett bionikus karom	en avansert bionisk klo	uma garra biônica avançada	o gheară bionică avansată	pokročilý bionický pazúr	una garra biónica avanzada	en avancerad bionisk klo	gelişmiş bir biyonik pençe
HediffDef&KokuAdvancedBionicClaw.description	An installed advanced bionic claw.	Eine installierte fortschrittliche bionische Klaue.	先進的なバイオニッククローを搭載。	Zainstalowany zaawansowany bioniczny pazur.	Una garra biónica avanzada instalada.	Une griffe bionique avancée installée.	安装了先进的仿生爪。	Un artiglio bionico avanzato installato.	설치된 첨단 생체공학 발톱.	Uma garra biônica avançada instalada.	Установлен усовершенствованный бионический коготь.	Встановлений вдосконалений біонічний кіготь.	Una urpa biònica avançada instal·lada.	安装了先进的仿生爪。	Instalovaný pokročilý bionický dráp.	En installeret avanceret bionisk klo.	Een geïnstalleerde geavanceerde bionische klauw.	Paigaldatud täiustatud biooniline küünis.	Asennettu edistyksellinen bionic claw.	Ένα εγκατεστημένο προηγμένο βιονικό νύχι.	Beépített fejlett bionikus karom.	En installert avansert bionisk klo.	Uma garra biônica avançada instalada.	O gheară bionică avansată instalată.	Inštalovaný pokrokový bionický pazúr.	Una garra biónica avanzada instalada.	En installerad avancerad bionisk klo.	Kurulu gelişmiş bir biyonik pençe.
HediffDef&KokuAdvancedBionicClaw.comps.tools.advanced bionic claw.label	advanced bionic claw	Fortgeschrittene bionische Klaue	先進的なバイオニッククロー	zaawansowany bioniczny pazur	garra biónica avanzada	griffe bionique avancée	先进的仿生爪	artiglio bionico avanzato	고급 생체공학 발톱	garra biônica avançada	продвинутый бионический коготь	вдосконалений біонічний кіготь	urpa biònica avançada	先进的仿生爪	pokročilý bionický dráp	avanceret bionisk klo	geavanceerde bionische klauw	arenenud biooniline küünis	kehittynyt bioninen kynsi	προηγμένο βιονικό νύχι	fejlett bionikus karom	avansert bionisk klo	garra biônica avançada	gheară bionică avansată	pokročilý bionický pazúr	garra biónica avanzada	avancerad bionisk klo	gelişmiş biyonik pençe
HediffDef&KokuAdvancedBionicGunArm.label	advanced bionic gun arm	fortschrittlicher bionischer Waffenarm	先進的なバイオニックガンアーム	zaawansowane ramię z bronią bioniczną	brazo de pistola biónica avanzada	bras de pistolet bionique avancé	先进仿生枪臂	braccio armato bionico avanzato	고급 생체 공학 총 팔	braço de arma biônico avançado	усовершенствованная бионическая рука-пушка	просунута біонічна рука	braç biònic avançat	先进仿生枪臂	pokročilé rameno bionické zbraně	avanceret bionisk pistolarm	geavanceerde bionische pistoolarm	täiustatud biooniline relva käsi	kehittynyt bioninen aseen varsi	προηγμένος βραχίονας βιονικού όπλου	fejlett bionikus fegyverkar	avansert bionisk pistolarm	braço de arma biônico avançado	braț de armă bionic avansat	pokročilé rameno bionického zbrane	brazo de pistola biónica avanzada	avancerad bionisk pistolarm	gelişmiş biyonik silah kolu
