Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
HediffDef&KokuArtificialEye.description	An installed simple artificial eye.		Montiertes künstliches Auge.		Zamontowane sztuczne oko.							Установленный искусственный глаз.	Встановлене штучне око.											Olho artificial instalado.					
HediffDef&KokuHydraulicJaw.label	hydraulic jaw		Hydraulikkiefer		Hydrauliczna szczęka							Гидравлическая челюсть	Гідравлічна щелепа											Mandíbula hidráulica					
HediffDef&KokuHydraulicJaw.description	An installed simple hydraulic jaw.		Montierter Hydraulikkiefer.		Zamontowana hydrauliczna szczęka.							Установленная гидравлическая челюсть.	Встановлена гідравлічна щелепа.											Mandíbula hidráulica instalada.					
HediffDef&KokuSimpleHydraulicArm.label	simple hydraulic shoulder-arm		Hydraulikarm		Hydrauliczne ramię							Гидравлическая рука	Гідравлічна рука											Braço hidráulico					
HediffDef&KokuSimpleHydraulicArm.description	An installed simple hydraulic arm.		Montierter Hydraulikarm.		Zamontowane hydrauliczne ramię.							Установленная гидравлическая рука.	Встановлене гідравлічна рука.											Braço hidráulico instalado.					
HediffDef&KokuSimpleHydraulicArm.comps.0.tools.0.label	fist																												
HediffDef&KokuSimpleHydraulicLeg.label	simple hydraulic leg		Hydraulikbein		Hydrauliczna noga							Гидравлическая нога	Гідравлічна нога											Perna hidráulica					
HediffDef&KokuSimpleHydraulicLeg.description	An installed simple hydraulic leg.		Montiertes Hydraulikbein.		Zamontowana hydrauliczna noga.							Установленная гидравлическая нога.	Встановлена гідравлічна нога.											Perna hidráulica instalada.					
HediffDef&KokuBionicArm.label	bionic shoulder-arm		Bionischer Arm		Bioniczne ramię							Бионическая рука	Біонічна рука											Braço biónico					
HediffDef&KokuBionicArm.labelNoun	a bionic arm		Bionischer Arm		Bioniczne ramię							Бионическая рука	Біонічна рука											Braço biónico					
HediffDef&KokuBionicArm.description	An installed bionic arm.		Montierter bionischer Arm.		Zamontowane bioniczne ramię							Установленная бионическая рука	Встановлене біонічна рука											Braço biónico instalado.					
HediffDef&KokuBionicArm.comps.0.tools.0.label	bionic fist																												
HediffDef&KokuBionicLeg.label	Bionic leg		Bionisches Bein		Bioniczna noga							Бионическая нога	Біонічна нога											Perna biónica					
HediffDef&KokuBionicLeg.labelNoun	a bionic leg		Bionisches Bein		Bioniczna noga							Бионическая нога	Біонічна нога											Perna biónica					
HediffDef&KokuBionicLeg.description	An installed bionic leg.		Montiertes bionisches Bein.		Zamontowana bioniczna noga.							Установленная бионическая нога.	Встановлена біонічна нога.											Perna biónica instalada.					
HediffDef&KokuBionicNose.label	bionic nose		Bionische Nase		Bioniczny nos							Бионический нос	Біонічний ніс											Nariz biónico					
HediffDef&KokuBionicNose.labelNoun	a bionic nose		Bionische Nase		Bioniczny nos							Бионический нос	Біонічний ніс											Nariz biónico					
HediffDef&KokuBionicNose.description	An installed bionic nose.		Montierte bionische Nase.		Zamontowany bioniczny nos.							Установленный бионический нос.	Встановлений біонічний ніс.											Nariz biónico instalado.					
HediffDef&KokuBionicEar.label	bionic ear		Bionisches Ohr		Bioniczne ucho							Бионическое ухо	Біонічне вухо											Ouvido biónico					
HediffDef&KokuBionicEar.labelNoun	a bionic ear		Bionisches Ohr		Bioniczne ucho							Бионическое ухо	Біонічне вухо											Ouvido biónico					
HediffDef&KokuBionicEar.description	An installed bionic ear.		Montiertes bionisches Ohr.		Zamontowane bioniczne ucho.							Установленное бионическое ухо.	Встановлене біонічне вухо.											Ouvido biónico instalado.					
HediffDef&KokuBionicEye.label	bionic eye		Bionisches Auge		Bioniczne oko							Бионический глаз	Біонічне око											Olho biónico					
HediffDef&KokuBionicEye.labelNoun	a bionic eye		Bionisches Auge		Bioniczne oko							Бионический глаз	Біонічне око											Olho biónico					
HediffDef&KokuBionicEye.description	An installed bionic eye.		Montiertes bionisches Auge.		Zamontowane bioniczne oko.							Установленный бионический глаз.	Встановлене біонічне око.											Olho biónico instalado.					
HediffDef&KokuBionicJaw.label	bionic jaw		Bionischer Kiefer		Bioniczna szczęka							Бионическая челюсть	Біонічна щелепа											Mandíbula biónica					
HediffDef&KokuBionicJaw.labelNoun	a bionic jaw		Bionischer Kiefer		Bioniczna szczęka							Бионическая челюсть	Біонічна щелепа											Mandíbula biónica					
HediffDef&KokuBionicJaw.description	An installed bionic jaw.		Montierter bionischer Kiefer.		Zamontowana bioniczna szczęka.							Установленная бионическая челюсть.	Встановлена біонічна щелепа.											Mandíbula biónica instalada.					
HediffDef&KokuMuteJaw.label	mute jaw		Lautloser Kiefer		Niema szczęka							Немая челюсть	Німота щелепа											Mandíbula muda					
HediffDef&KokuMuteJaw.labelNoun	a mute jaw		Lautloser Kiefer		Niema szczęka							Немая челюсть	Німота щелепа											Mandíbula muda					
HediffDef&KokuMuteJaw.description	An installed mute jaw.		Montierter lautloser Kiefer.		Zamontowana niema szczęka.							Установленная немая челюсть.	Встановлена німота щелепа.											Mandíbula muda instalada.					
HediffDef&KokuBionicSpine.label	bionic spine		Bionische Wirbelsäule		Bioniczny kręgosłup							Бионический позвоночник	Біонічний хребет											Coluna Biónica					
HediffDef&KokuBionicSpine.labelNoun	a bionic spine		Bionische Wirbelsäule		Bioniczny kręgosłup							Бионический позвоночник	Біонічний хребет											Coluna Biónica					
HediffDef&KokuBionicSpine.description	An installed bionic spine.		Montierte bionische Wirbelsäule.		Zamontowany bioniczny kręgosłup.							Установленный бионический позвоночник.	Встановлений біонічний хребет.											Coluna biónica instalada.					
HediffDef&KokuBionicPelvis.label	bionic pelvis		Bionisches Becken		Bioniczna miednica							Бионический таз	Біонічна таз											Pelve Biónica					
HediffDef&KokuBionicPelvis.labelNoun	a bionic pelvis		Bionisches Becken		Bioniczna miednica							Бионический таз	Біонічна таз											Pelve Biónica					
HediffDef&KokuBionicPelvis.description	An installed bionic pelvis.		Montiertes bionisches Becken.		Zamontowana bioniczna miednica.							Установленный бионический таз.	Встановлена біонічна таз.											Pelve biónica instalada.					
HediffDef&KokuBionicNeck.label	bionic neck		Bionischer Hals		Bioniczna szyja							Бионическая шея	Біонічна шия											Pescoço Biónico					
HediffDef&KokuBionicNeck.labelNoun	a bionic neck		Bionischer Hals		Bioniczna szyja							Бионическая шея	Біонічна шия											Pescoço Biónico					
HediffDef&KokuBionicNeck.description	An installed bionic neck.		Montierter bionischer Hals.		Zamontowana bioniczna szyja.							Установленная бионическая шея.	Встановлена біонічна шия.											Pescoço biónico instalado.					
HediffDef&KokuMedicalSternum.label	medical sternum		Medizinisches Brustbein		Medyczny mostek							Медицинская грудная клетка	Медичний груди											Esterno Médico					
HediffDef&KokuMedicalSternum.labelNoun	a medical sernum		Medizinisches Brustbein		Medyczny mostek							Медицинская грудная клетка	Медичний груди											Esterno Médico					
HediffDef&KokuMedicalSternum.description	An installed medical sternum.		Montiertes medizinisches Brustbein.		Zamontowany medyczny mostek.							Установленная медицинская грудная клетка.	Встановлений медичний груди.											Esterno médico instalado.					
HediffDef&KokuDruggedSternum.label	drugged sternum		Betäubendes Brustbein		Narkotyzujący mostek							Наркотический стернум	Narkotyzujący mostek											Esterno Anestésico					
HediffDef&KokuDruggedSternum.labelNoun	a drugged sternum		Betäubendes Brustbein		Narkotyzujący mostek							Наркотический стернум	Narkotyzujący mostek											Esterno Anestésico					
HediffDef&KokuDruggedSternum.description	An installed drugged sternum.		Montiertes betäubendes Brustbein.		Zamontowany narkotyzujący mostek.							Установленный наркотический стернум.	Zamontowany narkotyzujący mostek.											Esterno anestésico instalado.					
HediffDef&KokuAdrenalineSternum.label	adrenaline sternum		Adrenalin-Brustbein		Mostek z Adrenaliną							Стернум с адреналином	Mostek z Adrenaliną											Esterno com Adrenalina					
HediffDef&KokuAdrenalineSternum.labelNoun	an adrenaline sternum		Adrenalin-Brustbein		Mostek z Adrenaliną							Стернум с адреналином	Mostek z Adrenaliną											Esterno com Adrenalina					
HediffDef&KokuAdrenalineSternum.description	An installed adrenaline sternum.		Montiertes Adrenalin-Brustbein.		Zamontowany mostek z Adrenaliną.							Установленный стернум с адреналином.	Zamontowany mostek z Adrenaliną.											Esterno com adrenalina instalado.					
HediffDef&KokuPainkillerSternum.label	painkiller sternum		Schmerzlinderndes Brustbein		Przeciwbólowy mostek							Обезболивающий стернум	Przeciwbólowy mostek											Esterno Analgésico					
HediffDef&KokuPainkillerSternum.labelNoun	a painkiller sternum		Schmerzlinderndes Brustbein		Przeciwbólowy mostek							Обезболивающий стернум	Przeciwbólowy mostek											Esterno Analgésico					
HediffDef&KokuPainkillerSternum.description	An installed painkiller sternum.		Montiertes schmerzlinderndes Brustbein.		Zamontowany przeciwbólowy mostek.							Установленный обезболивающий стернум.	Zamontowany przeciwbólowy mostek.											Esterno analgésico instalado.					
HediffDef&KokuNanomachinesRibcage.label	nanomachines ribcage		Brustkorb mit Nanomaschinen		Klatka piersiowa z nanomaszynami							Грудная клетка с наномашинами	Klatka piersiowa z nanomaszynami											Caixa Torácica com Nanomáquinas					
HediffDef&KokuNanomachinesRibcage.labelNoun	a nanomachines ribcage		Brustkorb mit Nanomaschinen		Klatka piersiowa z nanomaszynami							Грудная клетка с наномашинами	Klatka piersiowa z nanomaszynami											Caixa Torácica com Nanomáquinas					
HediffDef&KokuNanomachinesRibcage.description	An installed nanomachines ribcage.		Montierter Brustkorb mit Nanomaschinen.		Zamontowana klatka piersiowa z nanomaszynami.							Установленная грудная клетка с наномашинами.	Zamontowana klatka piersiowa z nanomaszynami.											Caixa torácica com nanomáquinas instalada.					
HediffDef&KokuArtificialBrain.label	artificial brain		Künstliches Gehirn		Sztuczny mózg							Искусственный мозг	Штучний мозок											Cérebro artificial					
HediffDef&KokuArtificialBrain.description	An installed artificial brain.		Montiertes künstliches Gehirn.		Zamontowany sztuczny mózg.							Установленный искусственный мозг.	Встановлений штучний мозок.											Cérebro artificial instalado.					
HediffDef&KokuArtificialLung.label	artificial lung		Künstliches Lungen		Sztuczne płuco							Искусственное легкое	Штучне легке											Pulmo artificial					
HediffDef&KokuArtificialLung.description	An installed artificial lung.		Montierte künstliche Lunge.		Zamontowane sztuczne płuco.							Установленное искусственное легкое.	Встановлене штучне легке.											Pulmo artificial instalado.					
HediffDef&KokuArtificialStomach.label	artificial stomach		Künstlicher Magen		Sztuczny żołądek							Искусственный желудок	Штучний шлунок											Estômago artificial					
HediffDef&KokuArtificialStomach.description	An installed artificial stomach.		Montierter künstlicher Magen.		Zamontowany sztuczny żołądek.							Установленный искусственный желудок.	Встановлений штучний шлунок.											Estômago artificial instalado.					
HediffDef&KokuArtificialLiver.label	artificial liver		Künstliche Leber		Sztuczna wątroba							Искусственная печень	Штучна печінка											Fígado artificial					
HediffDef&KokuArtificialLiver.description	An installed artificial liver.		Montierte künstliche Leber.		Zamontowana sztuczna wątroba.							Установленная искусственная печень.	Встановлена штучна печінка.											Fígado artificial instalado.					
HediffDef&KokuArtificialKidney.label	artificial kidney		Künstliche Niere		Sztuczna Nerka							Искусственная почка	Штучна нирка											Nefro artificial					
HediffDef&KokuArtificialKidney.description	An installed artificial kidney.		Montierte künstliche Niere.		Zamontowana sztuczna nerka.							Установленная искусственная почка.	Встановлена штучна нирка.											Nefro artificial instalado.					
HediffDef&KokuArtificialHeart.label	artificial heart		Künstliches Herz		Sztuczne Serce							Искусственное сердце	Штучне серце											Coração artificial					
HediffDef&KokuArtificialHeart.description	An installed artificial heart.		Montiertes künstliches Herz.		Zamontowane sztuczne serce.							Установленное искусственное сердце.	Встановлене штучне серце.											Coração artificial instalado.					
HediffDef&KokuAdvancedBionicArm.label	advanced bionic shoulder-arm		Erweiterter bionischer Arm		Zaawansowana bioniczne ramię							Продвинутая бионическая рука	Складна біонічна рука											Braço biónico avançado					
HediffDef&KokuAdvancedBionicArm.labelNoun	an advanced bionic arm		Erweiterter bionischer Arm		Zaawansowane bioniczne ramię							Продвинутая бионическая рука	Складна біонічна рука											Braço biónico avançado					
HediffDef&KokuAdvancedBionicArm.description	An installed advanced bionic arm.		Montierter erweiterter bionischer Arm.		Zamontowane zaawansowane bioniczne ramię							Установленная продвинутая бионическая рука	Встановлене складна біонічна рука											Braço biónico avançado instalado.					
HediffDef&KokuAdvancedBionicArm.comps.0.tools.0.label	advanced bionic fist																												
HediffDef&KokuAdvancedBionicLeg.label	advanced bionic leg		Erweitertes bionisches Bein		Zaawansowana bioniczna noga							Продвинутая бионическая нога	Складна біонічна нога											Perna biónica avançada					
HediffDef&KokuAdvancedBionicLeg.labelNoun	an advanced bionic leg		Erweitertes bionisches Bein		Zaawansowana bioniczna noga							Продвинутая бионическая нога	Складна біонічна нога											Perna biónica avançada					
HediffDef&KokuAdvancedBionicLeg.description	An installed advanced bionic leg.		Montiertes erweitertes bionisches Bein.		Zamontowana zaawansowana bioniczna noga.							Установленная продвинутая бионическая нога.	Встановлена складна біонічна нога.											Perna biónica avançada instalada.					
HediffDef&KokuAdvancedBionicNose.label	advanced bionic nose		Erweiterte bionische Nase		Zaawansowany bioniczny nos							Продвинутый бионический нос	Складний біонічний ніс											Nariz biónica avançada					
HediffDef&KokuAdvancedBionicNose.labelNoun	an advanced bionic nose		Erweiterte bionische Nase		Zaawansowany bioniczny nos							Продвинутый бионический нос	Складний біонічний ніс											Nariz biónico avançado					
HediffDef&KokuAdvancedBionicNose.description	An installed advanced bionic nose.		Montierte erweiterte bionische Nase.		Zamontowany zaawansowany bioniczny nos.							Установленный продвинутый бионический нос.	Встановлений складний біонічний ніс.											Nariz biónico avançado instalado.					
HediffDef&KokuAdvancedBionicEar.label	advanced bionic ear		Erweitertes bionisches Ohr		Zaawansowane bioniczne ucho							Продвинутое бионическое ухо	Складне біонічне вухо											Ouvido biónico avançado					
HediffDef&KokuAdvancedBionicEar.labelNoun	an advanced bionic ear		Erweitertes bionisches Ohr		Zaawansowane bioniczne ucho							Продвинутое бионическое ухо	Складне біонічне вухо											Ouvido biónico avançado					
HediffDef&KokuAdvancedBionicEar.description	An installed advanced bionic ear.		Montiertes erweitertes bionisches Ohr.		Zamontowane zaawansowane bioniczne ucho.							Установленное продвинутое бионическое ухо.	Встановлене складне біонічне вухо.											Ouvido biónico avançado instalado.					
HediffDef&KokuAdvancedBionicEye.label	advanced bionic eye		Erweitertes bionisches Auge		Zaawansowane bioniczne oko							Продвинутый бионический глаз	Складне біонічне око											Olho biónico avançado					
HediffDef&KokuAdvancedBionicEye.labelNoun	an advanced bionic eye		Erweitertes bionisches Auge		Zaawansowane bioniczne oko							Продвинутый бионический глаз	Складне біонічне око											Olho biónico avançado					
HediffDef&KokuAdvancedBionicEye.description	An installed advanced bionic eye.		Montiertes erweitertes bionisches Auge.		Zamontowane zaawansowane bioniczne oko.							Установленный продвинутый бионический глаз.	Встановлене складне біонічне око.											Olho biónico avançado instalado.					
HediffDef&KokuAdvancedBionicJaw.label	advanced bionic jaw		Erweiterter bionischer Kiefer		Zaawansowana bioniczna szczęka							Продвинутая бионическая челюсть	Складна біонічна щелепа											Mandíbula biónica avançada					
HediffDef&KokuAdvancedBionicJaw.labelNoun	an advanced bionic jaw		Erweiterter bionischer Kiefer		Zaawansowana bioniczna szczęka							Продвинутая бионическая челюсть	Складна біонічна щелепа											Mandíbula biónica avançada					
HediffDef&KokuAdvancedBionicJaw.description	An installed advanced bionic jaw.		Montierter erweiterter bionischer Kiefer.		Zamontowana zaawansowana bioniczna szczęka.							Установленная продвинутая бионическая челюсть.	Встановлена складна біонічна щелепа.											Mandíbula biónica avançada instalada.					
HediffDef&KokuAdvancedBionicSpine.label	advanced bionic spine		Erweiterte bionische Wirbelsäule		Zaawansowany bioniczny kręgosłup							Продвинутый бионический позвоночник	Складний біонічний хребет											Coluna Biónica Avançada					
HediffDef&KokuAdvancedBionicSpine.labelNoun	an advanced bionic spine		Erweiterte bionische Wirbelsäule		Zaawansowany bioniczny kręgosłup							Продвинутый бионический позвоночник	Складний біонічний хребет											Coluna Biónica Avançada					
HediffDef&KokuAdvancedBionicSpine.description	An installed advanced bionic spine.		Montierte erweiterte bionische Wirbelsäule.		Zamontowany zaawansowany bioniczny kręgosłup.							Установленный продвинутый бионический позвоночник.	Встановлений складний біонічний хребет.											Coluna biónica avançada instalada.					
HediffDef&KokuAdvancedBionicPelvis.label	advanced bionic pelvis		Erweiterte bionische Becken		Zaawansowana bioniczna miednica							Продвинутый бионический таз	Складна біонічна таз											Pelve Biónica Avançada					
HediffDef&KokuAdvancedBionicPelvis.labelNoun	an advanced bionic pelvis		Erweiterte bionische Becken		Zaawansowana bioniczna miednica							Продвинутый бионический таз	Складна біонічна таз											Pelve Biónica Avançada					
HediffDef&KokuAdvancedBionicPelvis.description	An installed advanced bionic pelvis.		Montiertes erweitertes bionisches Becken.		Zamontowana zaawansowana bioniczna miednica.							Установленный продвинутый бионический таз.	Встановлена складна біонічна таз.											Pelve biónica avançada instalada.					
HediffDef&KokuAdvancedBionicNeck.label	advanced bionic neck		Erweiterter bionischer Hals		Zaawansowana bioniczna szyja							Продвинутая бионическая шея	Складна біонічна шия											Pescoço Biónico Avançado					
HediffDef&KokuAdvancedBionicNeck.labelNoun	an advanced bionic neck		Erweiterter bionischer Hals		Zaawansowana bioniczna szyja							Продвинутая бионическая шея	Складна біонічна шия											Pescoço Biónico Avançado					
HediffDef&KokuAdvancedBionicNeck.description	An installed advanced bionic neck.		Montierter erweiterter bionischer Hals.		Zamontowana zaawansowana bioniczna szyja.							Установленная продвинутая бионическая шея.	Встановлена складна біонічна шия.											Pescoço biónico avançado instalado.					
HediffDef&KokuAdvancedMedicalSternum.label	advanced medical sternum		Erweitertes medizinisches Brustbein		Zaawansowany medyczny mostek							Продвинутая медицинская грудная клетка	Складний медичний груди											Esterno Médico Avançado					
HediffDef&KokuAdvancedMedicalSternum.labelNoun	an advanced medical sernum		Erweitertes medizinisches Brustbein		Zaawansowany medyczny mostek							Продвинутая медицинская грудная клетка	Складний медичний груди											Esterno Médico Avançado					
HediffDef&KokuAdvancedMedicalSternum.description	An installed advanced medical sternum.		Montiertes erweitertes medizinisches Brustbein.		Zamontowany zaawansowany medyczny mostek.							Установленная продвинутая медицинская грудная клетка.	Встановлений складний медичний груди.											Esterno médico avançado instalado.					
HediffDef&KokuAdvancedDruggedSternum.label	advanced drugged sternum		Erweitertes betäubendes Brustbein		Zaawansowany narkotyzujący mostek							Продвинутый наркотический стернум	Zaawansowany narkotyzujący mostek											Esterno Anestésico Avançado					
HediffDef&KokuAdvancedDruggedSternum.labelNoun	an advanced drugged sternum		Erweitertes betäubendes Brustbein		Zaawansowany narkotyzujący mostek							Продвинутый наркотический стернум	Zaawansowany narkotyzujący mostek											Esterno Anestésico Avançado					
HediffDef&KokuAdvancedDruggedSternum.description	An installed advanced drugged sternum.		Montiertes erweitertes betäubendes Brustbein.		Zamontowany zaawansowany narkotyzujący mostek.							Установленный продвинутый наркотический стернум.	Zamontowany zaawansowany narkotyzujący mostek.											Esterno anestésico avançado instalado.					
HediffDef&KokuAdvancedAdrenalineSternum.label	advanced adrenaline sternum		Erweitertes Adrenalin-Brustbein		Zaawansowany mostek z Adrenaliną							Продвинутый стернум с адреналином	Zaawansowany mostek z Adrenaliną											Esterno com Adrenalina Avançado					
HediffDef&KokuAdvancedAdrenalineSternum.labelNoun	an advanced adrenaline sternum		Erweitertes Adrenalin-Brustbein		Zaawansowany mostek z Adrenaliną							Продвинутый стернум с адреналином	Zaawansowany mostek z Adrenaliną											Esterno com Adrenalina Avançado					
HediffDef&KokuAdvancedAdrenalineSternum.description	An installed advanced adrenaline sternum.		Montiertes erweitertes Adrenalin-Brustbein.		Zamontowany zaawansowany mostek z Adrenaliną.							Установленный продвинутый стернум с адреналином.	Zamontowany zaawansowany mostek z Adrenaliną.											Esterno com adrenalina avançado instalado.					
HediffDef&KokuAdvancedPainkillerSternum.label	advanced painkiller sternum		Erweitertes schmerzlinderndes Brustbein		Zaawansowany przeciwbólowy mostek							Продвинутый обезболивающий стернум	Zaawansowany przeciwbólowy mostek											Esterno Analgésico Avançado					
HediffDef&KokuAdvancedPainkillerSternum.labelNoun	an advanced painkiller sternum		Erweitertes schmerzlinderndes Brustbein		Zaawansowany przeciwbólowy mostek							Продвинутый обезболивающий стернум	Zaawansowany przeciwbólowy mostek											Esterno Analgésico Avançado					
HediffDef&KokuAdvancedPainkillerSternum.description	An installed advanced painkiller sternum.		Montiertes erweitertes schmerzlinderndes Brustbein.		Zamontowany zaawansowany przeciwbólowy mostek.							Установленный продвинутый обезболивающий стернум.	Zamontowany zaawansowany przeciwbólowy mostek.											Esterno analgésico avançado instalado.					
HediffDef&KokuAdvancedNanomachinesRibcage.label	advanced nanomachines ribcage		Erweiterter Brustkorb mit Nanomaschinen		Zaawansowana klatka piersiowa z nanomaszynami							Продвинутая грудная клетка с наномашинами	Zaawansowana klatka piersiowa z nanomaszynami											Caixa Torácica com Nanomáquinas Avançada					
HediffDef&KokuAdvancedNanomachinesRibcage.labelNoun	an advanced nanomachines ribcage		Erweiterter Brustkorb mit Nanomaschinen		Zaawansowana klatka piersiowa z nanomaszynami							Продвинутая грудная клетка с наномашинами	Zaawansowana klatka piersiowa z nanomaszynami											Caixa Torácica com Nanomáquinas Avançada					
HediffDef&KokuAdvancedNanomachinesRibcage.description	An installed advanced nanomachines ribcage.		Montierter erweiterter Brustkorb mit Nanomaschinen.		Zamontowana zaawansowana klatka piersiowa z nanomaszynami.							Установленная продвинутая грудная клетка с наномашинами.	Zamontowana zaawansowana klatka piersiowa z nanomaszynami.											Caixa torácica com nanomáquinas avançada instalada.					
HediffDef&KokuExoskeleton.label	exoskeleton suit		Exoskelett		Egzoszkielet							Экзоскелет	Egzoszkielet																
HediffDef&KokuExoskeleton.labelNoun	an exoskeleton suit		Exoskelett		Egzoszkielet							Экзоскелет	Egzoszkielet																
HediffDef&KokuExoskeleton.description	An installed exoskeleton suit.		Montiertes Exoskelett.		Zamontowany egzoszkielet.							Установленный экзоскелет.	Zamontowany egzoszkielet.																
HediffDef&KokuAdvancedBrain.label	advanced brain		Erweitertes künstliches Gehirn		Zaawansowany sztuczny mózg							Продвинутый искусственный мозг	Складний штучний мозок											Cérebro artificial avançado					
HediffDef&KokuAdvancedBrain.description	An installed Advanced brain.		Montiertes erweitertes künstliches Gehirn.		Zamontowany zaawansowany sztuczny mózg.							Установленный продвинутый искусственный мозг.	Встановлений складний штучний мозок.											Cérebro artificial avançado instalado.					
HediffDef&KokuSyntheticLung.label	synthetic lung		Synthetische Lunge		Syntetyczne płuco							Синтетическое легкое	Синтетичне легке											Pulmo sintético					
HediffDef&KokuSyntheticLung.description	An installed synthetic lung.		Montierte synthetische Lunge.		Zamontowane syntetyczne płuco.							Установленное синтетическое легкое.	Встановлене синтетичне легке.											Pulmo sintético instalado.					
HediffDef&KokuSyntheticStomach.label	synthetic stomach		Synthetischer Magen		Syntetyczny żołądek							Синтетический желудок	Синтетичний шлунок											Estômago sintético					
HediffDef&KokuSyntheticStomach.description	An installed synthetic stomach.		Montierter synthetischer Magen.		Zamontowany syntetyczny żołądek.							Установленный синтетический желудок.	Встановлений синтетичний шлунок.											Estômago sintético instalado.					
HediffDef&KokuSyntheticLiver.label	synthetic liver		Synthetische Leber		Syntetyczna wątroba							Синтетическая печень	Синтетична печінка											Fígado sintético					
HediffDef&KokuSyntheticLiver.description	An installed synthetic liver.		Montierte synthetische Leber.		Zamontowana syntetyczna wątroba.							Установленная синтетическая печень.	Встановлена синтетична печінка.											Fígado sintético instalado.					
HediffDef&KokuSyntheticKidney.label	synthetic kidney		Synthetische Niere		Syntetyczna Nerka							Синтетическая почка	Синтетична нирка											Nefro sintético					
HediffDef&KokuSyntheticKidney.description	An installed synthetic kidney.		Montierte synthetische Niere.		Zamontowana syntetyczna nerka.							Установленная синтетическая почка.	Встановлена синтетична нирка.											Nefro sintético instalado.					
HediffDef&KokuSyntheticHeart.label	synthetic heart		Synthetisches Herz		Syntetyczne Serce							Синтетическое сердце	Синтетичне серце											Coração sintético					
HediffDef&KokuSyntheticHeart.description	An installed synthetic heart.		Montiertes synthetisches Herz.		Zamontowane syntetyczne serce.							Установленное синтетическое сердце.	Встановлене синтетичне серце.											Coração sintético instalado.					
