Key	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
HediffDef&KokuV2PsychicLessSkullImplant.label	V2 psychicless skull implant	V2 Psychicless-Schädelimplantat	V2 サイキックレス頭蓋骨インプラント	Bezpsychiczny implant czaszki V2	Implante de cráneo sin psíquico V2	Implant crânien sans psychique V2	V2 无灵颅骨植入物	Impianto di cranio psichico V2	V2 무심령 두개골 임플란트	Implante de crânio sem psíquico V2	Беспсихический имплантат черепа V2	Імплантат V2 без психічного черепа	Implant de crani sense psíquic V2	V2 无灵颅骨植入物	Implantát lebky bez psychiky V2	V2 psychicless kranieimplantat	V2 paranormale schedelimplantaat	V2 psüühikata koljuimplantaat	V2 psyykkinen kallo-implantti	V2 χωρίς ψυχικό εμφύτευμα κρανίου	V2 pszichés koponyaimplantátum	V2 psykisk fritt hodeskalleimplantat	Implante de crânio sem psíquico V2	Implant cranian fără psihic V2	Implantát lebky bez psychiky V2	Implante de cráneo sin psíquico V2	V2 psychicless skalleimplantat	V2 psişik olmayan kafatası implantı
HediffDef&KokuV2PsychicLessSkullImplant.description	An installed V2 psychicless skull implant.	Ein installiertes V2-Psychicless-Schädelimplantat.	取り付けられた V2 サイキックレス頭蓋骨インプラント。	Zainstalowany bezpsychiczny implant czaszki V2.	Un implante de cráneo sin psíquico V2 instalado.	Un implant crânien psychique V2 installé.	已安装的 V2 无灵颅骨植入物。	Un impianto cranico psichico V2 installato.	설치된 V2 무심령 두개골 임플란트.	Um implante de crânio sem psíquico V2 instalado.	Установлен беспсихический имплантат черепа V2.	Встановлений безекстрасенсний черепний імплантат V2.	Un implant de crani sense psíquic V2 instal·lat.	已安装的 V2 无灵颅骨植入物。	Instalovaný implantát lebky bez psychiky V2.	Et installeret V2 psychicless kranieimplantat.	Een geïnstalleerd V2-psychicless schedelimplantaat.	Paigaldatud V2 psüühikata koljuimplantaat.	Asennettu V2 psyykkinen kallo-implantti.	Ένα εγκατεστημένο V2 χωρίς ψυχικό εμφύτευμα κρανίου.	Beépített V2 pszichés koponyaimplantátum.	Et installert V2 psychicless hodeskalleimplantat.	Um implante de crânio sem psíquico V2 instalado.	Un implant de craniu fără psihic V2 instalat.	Inštalovaný implantát lebky bez psychiky V2.	Un implante de cráneo sin psíquico V2 instalado.	Ett installerat V2 psychicless skalleimplantat.	Kurulu bir V2 psişiksiz kafatası implantı.
HediffDef&KokuV3PsychicLessSkullImplant.label	V3 psychicless skull implant	V3 Psychicless-Schädelimplantat	V3 サイキックレス頭蓋骨インプラント	Bezpsychiczny implant czaszki V3	Implante de cráneo sin psíquico V3	Implant crânien sans psychique V3	V3 无灵颅骨植入物	Impianto di cranio psichico V3	V3 무심령 두개골 임플란트	Implante de crânio sem psíquico V3	Беспсихический имплантат черепа V3	Імплантат V3 без психічного черепа	Implant de crani sense psíquic V3	V3 无灵颅骨植入物	Implantát lebky bez psychiky V3	V3 psychicless kranieimplantat	V3 paranormale schedelimplantaat	V3 psüühikata koljuimplantaat	V3 psyykkinen kalloimplantti	V3 εμφύτευμα κρανίου χωρίς ψυχικό	V3 pszichés koponyaimplantátum	V3 psykisk fritt hodeskalleimplantat	Implante de crânio sem psíquico V3	Implant cranian fără psihic V3	Implantát lebky V3 bez psychiky	Implante de cráneo sin psíquico V3	V3 psychicless skalleimplantat	V3 psişik olmayan kafatası implantı
HediffDef&KokuV3PsychicLessSkullImplant.description	An installed V3 psychicless skull implant.	Ein installiertes V3-Psychicless-Schädelimplantat.	取り付けられた V3 サイキックレス頭蓋骨インプラント。	Zainstalowany bezpsychiczny implant czaszki V3.	Un implante de cráneo sin psíquico V3 instalado.	Un implant crânien psychique V3 installé.	已安装的 V3 无灵颅骨植入物。	Un impianto cranico psichico V3 installato.	설치된 V3 무심령 두개골 임플란트.	Um implante de crânio sem psíquico V3 instalado.	Установлен беспсихический имплантат черепа V3.	Встановлений безекстрасенсний черепний імплантат V3.	Un implant de crani sense psíquic V3 instal·lat.	已安装的 V3 无灵颅骨植入物。	Instalovaný implantát lebky bez psychiky V3.	Et installeret V3 psychicless kranieimplantat.	Een geïnstalleerd V3-psychicless schedelimplantaat.	Paigaldatud V3 psüühikata koljuimplantaat.	Asennettu V3 psyykkinen kalloimplantti.	Ένα εγκατεστημένο V3 χωρίς ψυχικό εμφύτευμα κρανίου.	Beépített V3 pszichés koponyaimplantátum.	Et installert V3 psykisk fritt hodeskalleimplantat.	Um implante de crânio sem psíquico V3 instalado.	Un implant de craniu fără psihic V3 instalat.	Inštalovaný implantát lebky bez psychiky V3.	Un implante de cráneo sin psíquico V3 instalado.	Ett installerat V3 psychicless skalleimplantat.	Kurulu bir V3 psişiksiz kafatası implantı.
HediffDef&KokuV1ResearcherSkullImplant.label	V1 researcher skull implant	V1-Forscher-Schädelimplantat	V1 研究者の頭蓋骨インプラント	Implant czaszki badacza V1	Implante de cráneo para investigadores V1	Implant crânien de chercheur V1	V1 研究员颅骨植入物	Impianto del cranio del ricercatore V1	V1 연구원 두개골 임플란트	Implante de crânio de pesquisador V1	Имплантат черепа исследователя V1	Імплантат черепа дослідника V1	Implant de crani investigador V1	V1 研究员颅骨植入物	Implantát lebky výzkumníka V1	V1 forsker kranieimplantat	V1 onderzoeker schedelimplantaat	V1 teadlase koljuimplantaat	V1-tutkijan kalloimplantti	V1 εμφύτευμα κρανίου ερευνητή	V1 kutató koponya implantátum	V1 forsker hodeskalleimplantat	Implante de crânio de pesquisador V1	Implant de craniu cercetător V1	Implantát lebky výskumníka V1	Implante de cráneo para investigadores V1	V1 forskarskalleimplantat	V1 araştırmacı kafatası implantı
HediffDef&KokuV1ResearcherSkullImplant.description	An installed V1 researcher skull implant.	Ein installiertes V1-Forscher-Schädelimplantat.	取り付けられた V1 研究者の頭蓋骨インプラント。	Zainstalowany implant czaszki badacza V1.	Un implante de cráneo de investigador V1 instalado.	Un implant crânien de chercheur V1 installé.	已安装的 V1 研究员颅骨植入物。	Un impianto cranico da ricercatore V1 installato.	설치된 V1 연구원 두개골 임플란트.	Um implante de crânio de pesquisador V1 instalado.	Установлен имплантат черепа исследователя V1.	Встановлений імплантат черепа дослідника V1.	Un implant de crani d'investigador V1 instal·lat.	已安装的 V1 研究员颅骨植入物。	Instalovaný implantát lebky výzkumníka V1.	Et installeret V1 forskerkranieimplantat.	Een geïnstalleerd V1-onderzoekersschedelimplantaat.	Paigaldatud V1 uurija koljuimplantaat.	Asennettu V1-tutkijan kalloimplantti.	Ένα εγκατεστημένο εμφύτευμα κρανίου ερευνητή V1.	Beépített V1 kutató koponyaimplantátum.	Et installert V1-forskerhodeskalleimplantat.	Um implante de crânio de pesquisador V1 instalado.	Un implant de craniu de cercetător V1 instalat.	Inštalovaný implantát lebky výskumníka V1.	Un implante de cráneo de investigador V1 instalado.	Ett installerat V1 forskarskalleimplantat.	Kurulu bir V1 araştırmacı kafatası implantı.
HediffDef&KokuV2ResearcherSkullImplant.label	V2 researcher skull implant	V2-Forscher-Schädelimplantat	V2 研究者の頭蓋骨インプラント	Implant czaszki badacza V2	Implante de cráneo para investigador V2	Implant crânien de chercheur V2	V2 研究员颅骨植入物	Impianto del cranio del ricercatore V2	V2 연구원 두개골 임플란트	Implante de crânio de pesquisador V2	Имплантат черепа исследователя V2	Імплантат черепа дослідника V2	Implant de crani investigador V2	V2 研究员颅骨植入物	Implantát lebky výzkumníka V2	V2 forsker kranieimplantat	V2 onderzoeker schedelimplantaat	V2 uurija koljuimplantaat	V2-tutkijan kalloimplantti	Ερευνητικό εμφύτευμα κρανίου V2	V2 kutató koponyaimplantátum	V2 forsker hodeskalleimplantat	Implante de crânio de pesquisador V2	Implant de craniu cercetător V2	Implantát lebky výskumníka V2	Implante de cráneo para investigador V2	V2 forskarskalleimplantat	V2 araştırmacı kafatası implantı
HediffDef&KokuV2ResearcherSkullImplant.description	An installed V2 researcher implant.	Ein installiertes V2-Forscherimplantat.	取り付けられた V2 研究者インプラント。	Zainstalowany implant badawczy V2.	Un implante investigador V2 instalado.	Un implant de chercheur V2 installé.	已安装的 V2 研究人员植入物。	Un impianto da ricercatore V2 installato.	설치된 V2 연구원 임플란트.	Um implante pesquisador V2 instalado.	Установленный исследовательский имплантат V2.	Встановлений дослідницький імплантат V2.	Un implant investigador V2 instal·lat.	已安装的 V2 研究人员植入物。	Instalovaný výzkumný implantát V2.	Et installeret V2-forskerimplantat.	Een geïnstalleerd V2-onderzoeksimplantaat.	Paigaldatud V2 uurija implantaat.	Asennettu V2-tutkijaimplantti.	Ένα εγκατεστημένο ερευνητικό εμφύτευμα V2.	Beépített V2 kutató implantátum.	Et installert V2-forskerimplantat.	Um implante pesquisador V2 instalado.	Un implant de cercetător V2 instalat.	Inštalovaný výskumný implantát V2.	Un implante investigador V2 instalado.	Ett installerat V2 forskarimplantat.	Kurulu bir V2 araştırmacı implantı.
HediffDef&KokuV3ResearcherSkullImplant.label	V3 researcher skull implant	V3-Forscher-Schädelimplantat	V3 研究者の頭蓋骨インプラント	Implant czaszki badacza V3	Implante de cráneo para investigadores V3	Implant crânien de chercheur V3	V3 研究员颅骨植入物	Impianto del cranio del ricercatore V3	V3 연구원 두개골 임플란트	Implante de crânio de pesquisador V3	Имплантат черепа исследователя V3	Імплантат черепа дослідника V3	Implant de crani investigador V3	V3 研究员颅骨植入物	Implantát lebky výzkumníka V3	V3 forsker kranieimplantat	V3 onderzoeker schedelimplantaat	V3 teadlase koljuimplantaat	V3-tutkijan kalloimplantti	Ερευνητικό εμφύτευμα κρανίου V3	V3 kutató koponya implantátum	V3 forsker hodeskalleimplantat	Implante de crânio de pesquisador V3	Implant de craniu cercetător V3	Implantát lebky výskumníka V3	Implante de cráneo para investigadores V3	V3 forskarskalleimplantat	V3 araştırmacı kafatası implantı
HediffDef&KokuV3ResearcherSkullImplant.description	An installed V3 researcher skull implant.	Ein installiertes V3-Forscher-Schädelimplantat.	取り付けられた V3 研究者の頭蓋骨インプラント。	Zainstalowany implant czaszki badacza V3.	Un implante de cráneo de investigador V3 instalado.	Un implant crânien de chercheur V3 installé.	已安装的 V3 研究员颅骨植入物。	Un impianto cranico da ricercatore V3 installato.	설치된 V3 연구원 두개골 임플란트.	Um implante de crânio de pesquisador V3 instalado.	Установленный имплантат черепа исследователя V3.	Встановлений імплантат черепа дослідника V3.	Un implant de crani d'investigador V3 instal·lat.	已安装的 V3 研究员颅骨植入物。	Instalovaný implantát lebky výzkumníka V3.	Et installeret V3-forskerkranieimplantat.	Een geïnstalleerd V3-onderzoekersschedelimplantaat.	Paigaldatud V3-uurija koljuimplantaat.	Asennettu V3-tutkijan kalloimplantti.	Ένα εγκατεστημένο εμφύτευμα κρανίου ερευνητή V3.	Beépített V3 kutató koponyaimplantátum.	Et installert V3-forskerhodeskalleimplantat.	Um implante de crânio de pesquisador V3 instalado.	Un implant de craniu V3 Researcher instalat.	Inštalovaný implantát lebky výskumníka V3.	Un implante de cráneo de investigador V3 instalado.	Ett installerat V3-forskarskalleimplantat.	Kurulu bir V3 araştırmacı kafatası implantı.
HediffDef&KokuV1MinerSkullImplant.label	V1 miner skull implant	V1 Bergmannsschädelimplantat	V1 鉱夫の頭蓋骨インプラント	Implant czaszki górnika V1	Implante de cráneo minero V1	Implant de crâne de mineur V1	V1 矿工头骨植入物	Impianto del cranio del minatore V1	V1 광부 두개골 임플란트	Implante de crânio de mineiro V1	Имплантат черепа шахтера V1	Імплантат черепа шахтаря V1	Implant de crani miner V1	V1 矿工头骨植入物	Implantát lebky horníka V1	V1 minearbejder kranieimplantat	V1 mijnwerkersschedelimplantaat	V1 kaevandaja kolju implantaat	V1 Miner kalloimplantti	Εμφύτευμα κρανίου ανθρακωρύχου V1	V1 bányász koponya implantátum	V1 gruvearbeider hodeskalleimplantat	Implante de crânio de mineiro V1	Implant de craniu miner V1	Implantát lebky baníka V1	Implante de cráneo minero V1	V1 miner skalleimplantat	V1 madenci kafatası implantı
HediffDef&KokuV1MinerSkullImplant.description	An installed V1 miner skull implant.	Ein installiertes V1-Bergmannsschädelimplantat.	取り付けられた V1 鉱山労働者の頭蓋骨インプラント。	Zainstalowany implant czaszki górnika V1.	Un implante de cráneo de minero V1 instalado.	Un implant crânien de mineur V1 installé.	已安装的 V1 矿工头骨植入物。	Un impianto del cranio di un minatore V1 installato.	설치된 V1 광부 두개골 임플란트.	Um implante de crânio de mineiro V1 instalado.	Установлен имплант черепа шахтера V1.	Встановлений імплантат черепа майнера V1.	Un implant de crani miner V1 instal·lat.	已安装的 V1 矿工头骨植入物。	Instalovaný implantát lebky horníka V1.	Et installeret V1 minearbejder kranieimplantat.	Een geïnstalleerd V1-mijnwerkersschedelimplantaat.	Paigaldatud V1 kaevandaja koljuimplantaat.	Asennettu V1-kaivoskallo-implantti.	Ένα εγκατεστημένο εμφύτευμα κρανίου ανθρακωρύχου V1.	Beépített V1 bányász koponyaimplantátum.	Et installert V1 gruvearbeider hodeskalleimplantat.	Um implante de crânio de mineiro V1 instalado.	Un implant de craniu miner V1 instalat.	Inštalovaný implantát lebky baníka V1.	Un implante de cráneo de minero V1 instalado.	Ett installerat V1 miner skalleimplantat.	Kurulu bir V1 madenci kafatası implantı.
HediffDef&KokuV2MinerSkullImplant.label	V2 miner skull implant	V2 Bergmannsschädelimplantat	V2 鉱夫の頭蓋骨インプラント	Implant czaszki górnika V2	Implante de cráneo minero V2	Implant de crâne de mineur V2	V2矿工头骨植入物	Impianto del cranio del minatore V2	V2 광부 두개골 임플란트	Implante de crânio de mineiro V2	Имплантат черепа шахтера V2	Імплантат черепа шахтаря V2	Implant de crani miner V2	V2矿工头骨植入物	Implantát lebky horníka V2	V2 minearbejder kranieimplantat	V2 mijnwerkersschedelimplantaat	V2 kaevandaja kolju implantaat	V2 Miner kalloimplantti	Εμφύτευμα κρανίου ανθρακωρύχου V2	V2 bányász koponya implantátum	V2 gruvearbeider hodeskalleimplantat	Implante de crânio de mineiro V2	Implant cranian miner V2	Implantát lebky baníka V2	Implante de cráneo minero V2	V2 miner skalleimplantat	V2 madenci kafatası implantı
HediffDef&KokuV2MinerSkullImplant.description	An installed V2 miner implant.	Ein installiertes V2-Miner-Implantat.	インストールされた V2 マイナー インプラント。	Zainstalowany implant górniczy V2.	Un implante minero V2 instalado.	Un implant de mineur V2 installé.	已安装的 V2 矿工植入物。	Un impianto minatore V2 installato.	설치된 V2 마이너 임플란트.	Um implante de minerador V2 instalado.	Установленный имплантат майнера V2.	Встановлений майнер-імплантат V2.	Un implant V2 miner instal·lat.	已安装的 V2 矿工植入物。	Instalovaný důlní implantát V2.	Et installeret V2-minerimplantat.	Een geïnstalleerd V2-mijnwerkerimplantaat.	Paigaldatud V2 kaevurite implantaat.	Asennettu V2-kaivosimplantti.	Ένα εγκατεστημένο εμφύτευμα ανθρακωρύχου V2.	Beépített V2 miner implantátum.	Et installert V2-gruveimplantat.	Um implante de minerador V2 instalado.	Un implant V2 Miner instalat.	Inštalovaný minerský implantát V2.	Un implante minero V2 instalado.	Ett installerat V2-gruvarbetarimplantat.	Kurulu bir V2 madenci implantı.
HediffDef&KokuV3MinerSkullImplant.label	V3 miner skull implant	V3 Bergmannsschädelimplantat	V3 鉱夫の頭蓋骨インプラント	Implant czaszki górnika V3	Implante de cráneo minero V3	Implant de crâne de mineur V3	V3矿工头骨植入物	Impianto del cranio del minatore V3	V3 광부 두개골 임플란트	Implante de crânio de mineiro V3	Имплантат черепа шахтера V3	Імплантат черепа шахтаря V3	Implant de crani miner V3	V3矿工头骨植入物	Implantát lebky horníka V3	V3 minearbejder kranieimplantat	V3 mijnwerkersschedelimplantaat	V3 kaevandaja kolju implantaat	V3 Miner kalloimplantti	Εμφύτευμα κρανίου ανθρακωρύχου V3	V3 bányász koponya implantátum	V3 gruvearbeider hodeskalleimplantat	Implante de crânio de mineiro V3	Implant cranian miner V3	Implantát lebky baníka V3	Implante de cráneo minero V3	V3 miner skalleimplantat	V3 madenci kafatası implantı
HediffDef&KokuV3MinerSkullImplant.description	An installed V3 miner skull implant.	Ein installiertes V3-Bergmannsschädelimplantat.	取り付けられた V3 鉱夫の頭蓋骨インプラント。	Zainstalowany implant czaszki górnika V3.	Un implante de cráneo minero V3 instalado.	Un implant crânien de mineur V3 installé.	已安装的 V3 矿工头骨植入物。	Un impianto del cranio di un minatore V3 installato.	설치된 V3 광부 두개골 임플란트.	Um implante de crânio de mineiro V3 instalado.	Установлен имплант черепа шахтера V3.	Встановлений імплантат черепа майнера V3.	Un implant de crani miner V3 instal·lat.	已安装的 V3 矿工头骨植入物。	Instalovaný implantát lebky horníka V3.	Et installeret V3 minearbejder kranieimplantat.	Een geïnstalleerd V3-mijnwerkersschedelimplantaat.	Paigaldatud V3 kaevandaja koljuimplantaat.	Asennettu V3 Miner kalloimplantti.	Ένα εγκατεστημένο εμφύτευμα κρανίου ανθρακωρύχου V3.	Beépített V3 bányász koponyaimplantátum.	Et installert V3-minerhodeskalleimplantat.	Um implante de crânio de mineiro V3 instalado.	Un implant de craniu miner V3 instalat.	Inštalovaný implantát lebky baníka V3.	Un implante de cráneo minero V3 instalado.	Ett installerat V3 miner skalleimplantat.	Kurulu bir V3 madenci kafatası implantı.
